year,month,lot2,lot3,lot4,lot5,lot6,valet,prebook,revenue
2023,June,724026,358080,1113629,0,296612,0,440774,2933121
2023,July,815376,399114,1195171,0,385397,0,519837.71,3314895.71
2023,August,814276,402132,1307632,0,361044,0,502524.71,3387608.71
2023,September,853268,412876,1298320,0,391937,0,502651,3459052
2023,October,901604,442378,1420228,0,412586,0,549752.49,3726548.49
2023,November,773826,349829,1255013,87984,292585,0,520309.15,3279546.15
2023,December,646048,257280,1089798,175968,172584,0,490865.81,2832543.81
2024,January,588281,238203,1046634,171604,151074,0,440975.3,2636771.3
2024,February,576000,228200,1120495,166050,139392,0,403383,2633520
2024,March,723571,280080,1272818,193626,167490,0,504532.3,3142117.3
2024,April,754570,297563,1249566,215114,182916,0,620390.3,3320119.3
2024,May,832815,317208,1318380,223306,202338,0,626203,3520250
2024,June,875690,296122,1240313,211068,200394,0,672370.05,3495957.05
2024,July,887427,301258,1132438,221202,183114,0,789456.56,3514895.56
2024,August,933293,298992,1201722,204690,184284,0,689228.41,3512209.41
2024,September,952718,325144,1219832,221438,192870,7950,711900.77,3631852.77
2024,October,975603,350980,1324931,236376,207490,7200,667661,3770241
2024,November,803011,273683,1088835,188676,170298,8175,619063.15,3151741.15
2024,December,688245,251180,1006721,186912,168192,4845,656234.55,2962329.55
2025,January,627582,201210,960957,157896,144702,5740,508521.15,2606608.15
2025,February,608580,201680,991679,149472,133506,8320,458724.67,2551961.67
2025,March,687387,242196,1166346,179370,159804,12440,570751.08,3018294.08
2025,April,751233,258356,1184814,193734,167850,9960,671097.94,3237044.94
2025,May,958224,332820,1513592,253920,207584,12680,783220.73,4062040.73
2025,June,1032883,311257,1382761,248942,194330,11160,823609.22,4004942.22
2025,July,1082535,319720,1250624,255142,205719,9920,935696.18,4059356.18
